scenario,blend_time,recovery_time,bumpless_reg,isolation_tau,actuator_limits_1,actuator_limits_2,Q_scale,R_scale,itae_res,y_res_final,u_jump,u_peak_rate,u_comp_peak
sine,0.2,2,0.001,0.5,-2,2,0.5,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.2,2,0.001,0.5,-5,5,0.5,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.2,2,0.001,0.5,-5,5,0.5,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.2,2,0.001,0.5,-5,5,0.5,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.2,2,0.001,0.5,-5,5,0.5,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.2,2,0.001,0.5,-2,2,1,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.2,2,0.001,0.5,-2,2,1,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.2,2,0.001,0.5,-2,2,1,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.2,2,0.001,0.5,-2,2,1,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.2,2,0.001,0.5,-5,5,1,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.2,2,0.001,0.5,-5,5,1,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.2,2,0.001,0.5,-5,5,1,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.2,2,0.001,0.5,-5,5,1,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.2,2,0.001,0.5,-2,2,1,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.2,2,0.001,0.5,-2,2,1,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.2,2,0.001,0.5,-2,2,1,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.2,2,0.001,0.5,-2,2,1,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.2,2,0.001,0.5,-5,5,1,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.2,2,0.001,0.5,-5,5,1,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.2,2,0.001,0.5,-5,5,1,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.2,2,0.001,0.5,-5,5,1,0.5,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.2,2,0.001,0.5,-2,2,1,1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.2,2,0.001,0.5,-2,2,1,1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.2,2,0.001,0.5,-2,2,1,1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.2,2,0.001,0.5,-2,2,1,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.2,2,0.001,0.5,-5,5,1,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.2,2,0.001,0.5,-5,5,1,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.2,2,0.001,0.5,-5,5,1,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.2,2,0.001,0.5,-5,5,1,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,0.1,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,0.1,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,0.1,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,0.1,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,0.1,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,0.1,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,0.1,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,0.1,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,0.1,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,0.1,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,0.1,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,0.1,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,0.1,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,0.1,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,0.1,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,0.1,0.5,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,0.1,1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,0.1,1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,0.1,1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,0.1,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,0.1,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,0.1,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,0.1,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,0.1,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,0.5,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,0.5,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,0.5,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,0.5,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,0.5,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,0.5,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,0.5,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,0.5,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,0.5,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,0.5,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,0.5,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,0.5,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,0.5,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,0.5,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,0.5,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,0.5,0.5,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,0.5,1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,0.5,1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,0.5,1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,0.5,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,0.5,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,0.5,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,0.5,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,0.5,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,1,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,1,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,1,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,1,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,1,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,1,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,1,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,1,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,1,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,1,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,1,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,1,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,1,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,1,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,1,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,1,0.5,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.1,-2,2,1,1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.1,-2,2,1,1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.1,-2,2,1,1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.1,-2,2,1,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.1,-5,5,1,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.1,-5,5,1,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.1,-5,5,1,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.1,-5,5,1,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,0.1,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,0.1,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,0.1,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,0.1,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,0.1,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,0.1,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,0.1,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,0.1,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,0.1,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,0.1,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,0.1,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,0.1,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,0.1,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,0.1,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,0.1,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,0.1,0.5,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,0.1,1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,0.1,1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,0.1,1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,0.1,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,0.1,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,0.1,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,0.1,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,0.1,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,0.5,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,0.5,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,0.5,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,0.5,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,0.5,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,0.5,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,0.5,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,0.5,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,0.5,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,0.5,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,0.5,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,0.5,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,0.5,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,0.5,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,0.5,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,0.5,0.5,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,0.5,1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,0.5,1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,0.5,1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,0.5,1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,0.5,1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,0.5,1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,0.5,1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,0.5,1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,1,0.1,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,1,0.1,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,1,0.1,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,1,0.1,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,1,0.1,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,1,0.1,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,1,0.1,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
sine,0.5,0.5,0.001,0.25,-5,5,1,0.1,6.99377587770555,1.03286626675914,0.829335227109731,440.647825479839,3.62489879988822
bias_small,0.5,0.5,0.001,0.25,-2,2,1,0.5,30.1367065201152,0.900000000016156,0.829335227109731,862.489885308623,6.62489879988822
bias_large,0.5,0.5,0.001,0.25,-2,2,1,0.5,149.323936721388,0.499999999772629,2.21244456878523,2100.00483647868,6.62489879988822
ramp,0.5,0.5,0.001,0.25,-2,2,1,0.5,177.673964351841,0.0201294025235744,0.829335227109731,153.605244358429,6.62489879988822
sine,0.5,0.5,0.001,0.25,-2,2,1,0.5,7.16614938882704,1.03286626676693,0.829335227109731,153.605244358429,6.62489879988822
bias_small,0.5,0.5,0.001,0.25,-5,5,1,0.5,29.9729587085756,0.900000000008349,0.829335227109731,862.489881263785,3.62489879988822
bias_large,0.5,0.5,0.001,0.25,-5,5,1,0.5,149.12688584884,0.500000000032176,0.829335227109731,4312.44940121907,3.62489879988822
ramp,0.5,0.5,0.001,0.25,-5,5,1,0.5,177.506883782224,0.0201294025156876,0.829335227109731,440.647825479839,3.62489879988822
